quake_code,Anno,Mese,Giorno,Luogo,Magnitudo,Latitudine,Longitudine,cfti_url
143,1279,5,1,Appennino romagnolo,5.9,44.0294,11.7805,https://storing.ingv.it/cfti/cfti5/quake.php?00143IT=
144,1279,4,30,Appennino umbro-marchigiano,6.5,43.1049,12.9326,https://storing.ingv.it/cfti/cfti5/quake.php?00144IT=
160,1293,3,,Pistoia,5.6,43.9327,10.9127,https://storing.ingv.it/cfti/cfti5/quake.php?00160IT=
162,1293,9,4,Sannio,5.8,41.3047,14.5479,https://storing.ingv.it/cfti/cfti5/quake.php?00162IT=
169,1298,12,1,Reatino,6.2,42.5743,12.9061,https://storing.ingv.it/cfti/cfti5/quake.php?00169IT=
189,1304,10,23,Pianura Padana,5.1,45.0109,10.148,https://storing.ingv.it/cfti/cfti5/quake.php?00189IT=
197,1308,1,25,Rimini,5.4,44.06,12.5666,https://storing.ingv.it/cfti/cfti5/quake.php?00197IT=
201,1315,12,3,Castelli dell’Aquilano,5.8,42.3203,13.4644,https://storing.ingv.it/cfti/cfti5/quake.php?00201IT=
215,1328,12,4,Valnerina,6.4,42.8555,13.0223,https://storing.ingv.it/cfti/cfti5/quake.php?00215IT=
232,1348,1,25,Carinzia,7.1,46.5795,13.5408,https://storing.ingv.it/cfti/cfti5/quake.php?00232IT=
239,1349,9,9,Lazio meridionale-Molise,6.8,41.5818,13.907,https://storing.ingv.it/cfti/cfti5/quake.php?00239IT=
243,1352,1,25,Catania,5.4,37.5024,15.0873,https://storing.ingv.it/cfti/cfti5/quake.php?00243IT=
244,1352,12,25,Sansepolcro (AR),5.8,43.4885,12.1472,https://storing.ingv.it/cfti/cfti5/quake.php?00244IT=
245,1353,1,1,Sansepolcro (AR),5.6,43.5707,12.1411,https://storing.ingv.it/cfti/cfti5/quake.php?00245IT=
252,1361,7,17,Ascoli Satriano (FG),6,41.2058,15.5611,https://storing.ingv.it/cfti/cfti5/quake.php?00252IT=
258,1365,7,25,Bologna,5.4,44.4986,11.3396,https://storing.ingv.it/cfti/cfti5/quake.php?00258IT=
263,1367,,,Sant’Elia Fiumerapido (FR),5.1,41.5408,13.8664,https://storing.ingv.it/cfti/cfti5/quake.php?00263IT=
304,1389,10,18,Appennino umbro-marchigiano,6.1,43.536,12.3587,https://storing.ingv.it/cfti/cfti5/quake.php?00304IT=
314,1396,11,26,Monza,5.4,45.5851,9.2736,https://storing.ingv.it/cfti/cfti5/quake.php?00314IT=
318,1399,7,20,Modenese,5.1,44.4425,10.9243,https://storing.ingv.it/cfti/cfti5/quake.php?00318IT=
339,1403,9,6,Cividale del Friuli (UD),5.6,46.0936,13.4306,https://storing.ingv.it/cfti/cfti5/quake.php?00339IT=
353,1409,11,15,Parma,5.1,44.8014,10.3284,https://storing.ingv.it/cfti/cfti5/quake.php?00353IT=
367,1414,8,3,Toscana settentrionale,5.2,43.9326,10.6096,https://storing.ingv.it/cfti/cfti5/quake.php?00367IT=
368,1414,8,7,Colline Metallifere,5.6,43.2719,11.1177,https://storing.ingv.it/cfti/cfti5/quake.php?00368IT=
370,1414,,,Vieste (FG),5.8,41.883,16.1797,https://storing.ingv.it/cfti/cfti5/quake.php?00370IT=
388,1438,6,11,Parmense,5.6,44.8442,10.2384,https://storing.ingv.it/cfti/cfti5/quake.php?00388IT=
406,1453,9,28,Firenze,5.3,43.7854,11.2839,https://storing.ingv.it/cfti/cfti5/quake.php?00406IT=
418,1458,4,26,Val Tiberina,5.8,43.4639,12.2356,https://storing.ingv.it/cfti/cfti5/quake.php?00418IT=
425,1461,11,27,Aquilano,6.4,42.3137,13.5432,https://storing.ingv.it/cfti/cfti5/quake.php?00425IT=
438,1466,1,15,Irpinia,6.1,40.7655,15.3338,https://storing.ingv.it/cfti/cfti5/quake.php?00438IT=
464,1480,,,Marche meridionali,5.4,42.902,13.8004,https://storing.ingv.it/cfti/cfti5/quake.php?00464IT=
466,1481,5,7,Garfagnana,5.6,44.2751,10.1294,https://storing.ingv.it/cfti/cfti5/quake.php?00466IT=
468,1483,8,11,Romagna meridionale,5.7,44.1564,12.2293,https://storing.ingv.it/cfti/cfti5/quake.php?00468IT=
